zipcode,PERCENT PACIFIC ISLANDER,PERCENT HISPANIC LATINO,PERCENT AMERICAN INDIAN,PERCENT ASIAN NON HISPANIC,PERCENT WHITE NON HISPANIC,PERCENT BLACK NON HISPANIC,PERCENT OTHER ETHNICITY,PERCENT ETHNICITY UNKNOWN,PERCENT ETHNICITY TOTAL,PERCENT PERMANENT RESIDENT ALIEN,PERCENT US CITIZEN,PERCENT OTHER CITIZEN STATUS,PERCENT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS TOTAL,PERCENT RECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,PERCENT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE TOTAL
11369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,0,1,0,0,0,0,0,0,100,0,1,0,0,100,0.5,0.5,0,100
11373,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.33,0.67,0,100
11374,0,0,0,0,0.5,0.5,0,0,100,0,1,0,0,100,0,1,0,100
11375,0,0.4,0,0,0,0.6,0,0,100,0,1,0,0,100,0.2,0.8,0,100
11377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11415,0,0,0,0,1,0,0,0,100,0.09,0.91,0,0,100,0.45,0.55,0,100
11416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418,0,0.25,0,0,0,0.25,0.25,0.25,100,0,1,0,0,100,0.25,0.75,0,100
11419,0,0,0,0,0,1,0,0,100,0,1,0,0,100,0,1,0,100
11420,0,0.5,0,0,0,0,0.5,0,100,0,1,0,0,100,1,0,0,100
11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11427,0,0.5,0,0,0,0.5,0,0,100,0.5,0.5,0,0,100,0,1,0,100
11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11432,0,0,0,0.5,0,0.5,0,0,100,0,1,0,0,100,0,1,0,100
11433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11434,0,0,0,0,0,1,0,0,100,0.25,0.75,0,0,100,0,1,0,100
11435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11510,0,0.21,0,0.04,0.64,0.07,0.04,0,100,0.04,0.96,0,0,100,0.04,0.96,0,100
11548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11691,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.08,0.92,0,100
11692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11798,0,0,0,0,0,1,0,0,100,0,1,0,0,100,0,1,0,100
11968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12423,0,0,0,0,0.9,0,0.05,0.05,100,0,1,0,0,100,0.24,0.76,0,100
12428,0.02,0.01,0,0,0.94,0,0.03,0,100,0,1,0,0,100,0.57,0.43,0,100
12435,0,0,0,0,0.91,0,0.09,0,100,0,1,0,0,100,0.35,0.65,0,100
12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12466,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.8,0.2,0,100
12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12528,0,0,0,0,0.88,0,0.12,0,100,0.02,0.98,0,0,100,0.4,0.6,0,100
12701,0,0,0,0,0.95,0,0.02,0.02,99,0,1,0,0,100,0.21,0.79,0,100
12733,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.15,0.85,0,100
12734,0,0,0,0,0.96,0,0.02,0.02,100,0,1,0,0,100,0.24,0.76,0,100
12737,0,0,0,0,1,0,0,0,100,0.06,0.94,0,0,100,0.57,0.43,0,100
12750,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.57,0.43,0,100
12751,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.29,0.71,0,100
12754,0.01,0,0,0,0.95,0,0.03,0.01,100,0.01,0.99,0,0,100,0.2,0.8,0,100
12758,0,0,0,0,0.93,0,0.07,0,100,0,1,0,0,100,0.29,0.71,0,100
12759,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.73,0.27,0,100
12763,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.73,0.27,0,100
12764,0,0,0,0,0.97,0,0.03,0,100,0,1,0,0,100,0.08,0.92,0,100
12768,0,0,0,0,0.97,0,0.02,0.02,100,0,1,0,0,100,0.37,0.63,0,100
12779,0,0,0,0,0.99,0,0.01,0,100,0,1,0,0,100,0.64,0.36,0,100
12783,0,0,0.01,0,0.97,0,0.01,0,99,0.02,0.98,0,0,100,0.38,0.62,0,100
12786,0,0,0,0,1,0,0,0,100,0,1,0,0,100,0.25,0.75,0,100
12788,0,0,0,0,0.98,0,0.02,0,100,0,1,0,0,100,0.42,0.58,0,100
12789,0,0,0,0,0.96,0,0.02,0.01,99,0,1,0,0,100,0.26,0.74,0,100
13731,0,0,0,0,0.88,0,0.12,0,100,0,1,0,0,100,0.41,0.59,0,100
16091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
